subject,acc
a109tuq8wk2vjg,0.8541666666666667
a11exib1mvbzfj,1
a12abieib85r9u,0.0625
a12d8yonw8tywu,0.9583333333333334
a12t55b08jjyyv,0.9791666666666666
a14ycuva8hebx7,0.8541666666666667
a159ng9mhv7e7v,0.8541666666666666
a15ps12r80cwtu,0.875
a15sb9kagzmj4g,0.14583333333333334
a1618ra11zod8y,0.9583333333333334
a1649w6vs1xi17,0.9791666666666666
a170wnufjk56wd,0.9166666666666666
a178bxd4ubx932,0.875
a1ad2bdqyttjil,0.9375
a1b973pg17h746,1
a1fhkk0ru69ru,0.9583333333333334
a1fkghyvtl6vvc,1
a1gd9jru44we8p,0.8333333333333333
a1gp2iovw7rzuo,0.9375
a1j9q00nu7qjn,0.9791666666666666
a1m4r8ll48xgwe,1
a1msg3v72sbkvu,0.9791666666666666
a1qcfzj4pfm9wi,0.7916666666666667
a1rukaqh2yaa60,0.7916666666666667
a1sljknsnhojrn,0.9791666666666666
a1sn7eozuw5vp3,0.9583333333333333
a1tr2aokwgq78a,0.9583333333333334
a1uh6a625gf5md,0.875
a1vkzzxju11vn6,0.9791666666666666
a1vxajieltyk0,1
a1wjakh6lpefad,0.9583333333333334
a1y3jl53xao7qv,0.8333333333333334
a1ziotmx864njx,0.9583333333333334
a20nnuvdl65rvv,0.9583333333333333
a22llu5metq7cl,0.9583333333333334
a24z9rp5yzz2ty,0.9375
a273wocs111dh0,0.6875
a2bjmvjxfmt6r3,0.9791666666666666
a2ctbahecdqsix,0.9375
a2cv1wuwt6n0ik,1
a2e77jk6yte1mf,0.9791666666666666
a2jrmx2o50m439,1
a2kzn3uh5ngc9,0.9375
a2mbfiagbpu5ng,0.625
a2ok9gzq92mvua,0.9791666666666666
a2paxzmd7q7nkh,0.9375
a2pfyg0oumvitx,0.9583333333333334
a2r28i9sm3g0yl,0.9375
a2sr6moqx7kzm5,0.8125
a2t0p6djfriyjv,0.8541666666666667
a2tbkohgx08vrk,0.375
a2vo8c41jjiqy9,0.9375
a2vr9o234uct9t,1
a2w8lridtr74l,0.875
a2y8lzs5c81o25,0.5
a2yvqkjx3fo6p,1
a2z58pti5rfdkk,0.9791666666666666
a300upnthsr0im,0.9791666666666666
a30dhhal100lzr,0.9791666666666666
a30rzc1ay4scu,0.9791666666666666
a334ufaoo187w7,1
a36fx03tepqjzp,0.8125
a389ua2grcj6,1
a3elh8dgvle6tl,1
a3eqr9c0l23o6e,0.9166666666666667
a3f293q71v7lxq,0.8541666666666667
a3ft026lqj29ip,0.9791666666666666
a3g8jhyiniop64,0.8541666666666667
a3hopybwsr1twr,1
a3hqxcwoiqkt4f,1
a3keggehkzm0gy,0.9375
a3leldiql1ahii,1
a3ljsvb3hlepnw,0.9791666666666666
a3lxaru55pr281,1
a3my6t1kdlazvp,0.9791666666666666
a3ntgjuqjig4n5,1
a3o0qzq4v2ixt7,1
a3ov4lf262cki3,0.9583333333333334
a3pfngxng8gkzz,0.8958333333333334
a3t6vdt9hqov3n,0.9583333333333334
a3uv55hc87do9c,1
a3vdg4n48avygq,0.8958333333333334
a46s5o7bf1op1,0.9375
a7b9gor4ql3zv,1
a888zdvrcgqyb,0.9375
a9692y27lbxt9,1
a9w3mmlggwvt1,0.9791666666666666
aa5zdxaa2dly1,1
aaislve5u7epm,1
ac7cdw53i98jt,0.9375
acvwp0mrau69a,0.8958333333333334
admumzbdceenr,1
aeju0mcyoqc77,0.9583333333333334
ajuvx0e4optao,0.9166666666666667
aopa6r7jgglos,0.8541666666666667
ap4b1gjit3hyf,0.9583333333333334
apiur4wd44bq1,1
are6er0c6o2a1,0.9166666666666667
atny69ui91lmq,1
au566wrask7z0,0.9166666666666666
avke1noi9tx8z,1
ax8nxtt8qmghc,0.9166666666666666
axoe3wa9yt5mf,0.8333333333333333
az8aol78l8c84,0.8333333333333333
azniefuivb2h0,0.9583333333333334
