subject,trialCount,RT,acc,partResp,chosenNode,chosenImageFile,chosenCommunityNumber,chosenThreatStatus,option1CommunityNumber,option1ThreatStatus,option2CommunityNumber,option2ThreatStatus,option3CommunityNumber,option3ThreatStatus
a2ctbahecdqsix,1,3393,1,1,Node10,picture4.jpg,2,threat,2,threat,1,neutral,1,threat
a2ctbahecdqsix,2,4592,1,3,Node2,picture7.jpg,1,neutral,2,neutral,2,neutral,1,neutral
a2ctbahecdqsix,3,2220,1,3,Node8,picture5.jpg,2,neutral,1,neutral,1,threat,2,neutral
a2ctbahecdqsix,4,3639,1,3,Node10,picture4.jpg,2,threat,1,threat,1,neutral,2,threat
a2ctbahecdqsix,5,7169,1,2,Node3,picture3.jpg,1,neutral,2,neutral,1,neutral,2,neutral
a2ctbahecdqsix,6,3349,1,2,Node10,picture4.jpg,2,threat,1,neutral,2,threat,1,threat
a2ctbahecdqsix,7,7456,1,2,Node8,picture5.jpg,2,neutral,1,neutral,2,neutral,1,threat
a2ctbahecdqsix,8,11239,1,3,Node4,picture3.jpg,1,threat,2,neutral,2,neutral,1,threat
a2ctbahecdqsix,9,8439,1,2,Node3,picture3.jpg,1,neutral,2,neutral,1,neutral,2,neutral
a2ctbahecdqsix,10,4343,1,2,Node10,picture4.jpg,2,threat,1,threat,2,threat,1,neutral
a2ctbahecdqsix,11,9343,1,2,Node9,picture4.jpg,2,neutral,1,threat,2,neutral,1,neutral
a2ctbahecdqsix,12,4680,1,3,Node6,picture9.jpg,2,neutral,1,threat,1,neutral,2,neutral
a2ctbahecdqsix,13,2212,0,2,Node9,picture4.jpg,2,neutral,2,neutral,2,neutral,1,threat
a2ctbahecdqsix,14,5226,1,3,Node3,picture3.jpg,1,neutral,2,neutral,2,neutral,1,neutral
a2ctbahecdqsix,15,1983,1,2,Node6,picture9.jpg,2,neutral,1,threat,2,neutral,1,neutral
a2ctbahecdqsix,16,2815,1,3,Node1,picture2.jpg,1,threat,2,neutral,2,neutral,1,threat
a2ctbahecdqsix,17,4593,1,3,Node10,picture4.jpg,2,threat,1,neutral,1,threat,2,threat
a2ctbahecdqsix,18,2351,1,2,Node2,picture7.jpg,1,neutral,2,neutral,1,neutral,2,neutral
a2ctbahecdqsix,19,3408,1,3,Node9,picture4.jpg,2,neutral,1,threat,1,neutral,2,neutral
a2ctbahecdqsix,20,2471,1,1,Node10,picture4.jpg,2,threat,2,threat,1,threat,1,neutral
a2ctbahecdqsix,21,4521,1,3,Node9,picture4.jpg,2,neutral,1,neutral,1,threat,2,neutral
a2ctbahecdqsix,22,13968,1,1,Node6,picture9.jpg,2,neutral,2,neutral,1,threat,1,neutral
a2ctbahecdqsix,23,3119,1,2,Node8,picture5.jpg,2,neutral,1,threat,2,neutral,1,neutral
a2ctbahecdqsix,24,7576,1,2,Node4,picture3.jpg,1,threat,2,neutral,1,threat,2,neutral
a2ctbahecdqsix,25,4416,1,3,Node3,picture3.jpg,1,neutral,2,neutral,2,neutral,1,neutral
a2ctbahecdqsix,26,6126,1,1,Node4,picture3.jpg,1,threat,1,threat,2,neutral,2,neutral
a2ctbahecdqsix,27,4448,1,1,Node8,picture5.jpg,2,neutral,2,neutral,1,threat,1,neutral
a2ctbahecdqsix,28,5448,1,2,Node4,picture3.jpg,1,threat,2,neutral,1,threat,2,neutral
a2ctbahecdqsix,29,2073,1,1,Node3,picture3.jpg,1,neutral,1,neutral,2,neutral,2,neutral
a2ctbahecdqsix,30,2967,1,2,Node1,picture2.jpg,1,threat,2,neutral,1,threat,2,neutral
a2ctbahecdqsix,31,1744,1,1,Node3,picture3.jpg,1,neutral,1,neutral,2,neutral,2,neutral
a2ctbahecdqsix,32,2456,1,2,Node1,picture2.jpg,1,threat,2,neutral,1,threat,2,neutral
a2ctbahecdqsix,33,8104,1,3,Node2,picture7.jpg,1,neutral,2,neutral,2,neutral,1,neutral
a2ctbahecdqsix,34,15024,1,1,Node8,picture5.jpg,2,neutral,2,neutral,1,neutral,1,threat
a2ctbahecdqsix,35,2591,1,1,Node4,picture3.jpg,1,threat,1,threat,2,neutral,2,neutral
