subject,transition_threat,correct_rejections,false_alarms,hits,misses
a109tuq8wk2vjg,contains_threat,107,0,26,4
a109tuq8wk2vjg,no_threat,52,1,10,0
a11exib1mvbzfj,contains_threat,114,0,25,0
a11exib1mvbzfj,no_threat,46,0,15,0
a12abieib85r9u,contains_threat,90,17,5,20
a12abieib85r9u,no_threat,46,7,6,9
a12d8yonw8tywu,contains_threat,105,3,27,2
a12d8yonw8tywu,no_threat,48,5,10,0
a12t55b08jjyyv,contains_threat,126,0,28,0
a12t55b08jjyyv,no_threat,34,0,12,0
a14ycuva8hebx7,contains_threat,108,1,28,2
a14ycuva8hebx7,no_threat,48,3,10,0
a159ng9mhv7e7v,contains_threat,112,3,22,1
a159ng9mhv7e7v,no_threat,45,0,15,2
a15ps12r80cwtu,contains_threat,107,0,25,1
a15ps12r80cwtu,no_threat,50,3,14,0
a15sb9kagzmj4g,contains_threat,120,3,11,15
a15sb9kagzmj4g,no_threat,32,5,8,6
a1618ra11zod8y,contains_threat,109,2,22,4
a1618ra11zod8y,no_threat,47,2,9,5
a1649w6vs1xi17,contains_threat,90,8,17,8
a1649w6vs1xi17,no_threat,58,4,6,9
a170wnufjk56wd,contains_threat,100,3,21,3
a170wnufjk56wd,no_threat,57,0,14,2
a178bxd4ubx932,contains_threat,105,1,18,4
a178bxd4ubx932,no_threat,51,4,13,4
a1ad2bdqyttjil,contains_threat,106,2,21,5
a1ad2bdqyttjil,no_threat,49,3,14,0
a1b973pg17h746,contains_threat,110,1,21,11
a1b973pg17h746,no_threat,46,3,7,1
a1fhkk0ru69ru,contains_threat,95,5,22,2
a1fhkk0ru69ru,no_threat,51,10,15,0
a1fkghyvtl6vvc,contains_threat,103,4,20,1
a1fkghyvtl6vvc,no_threat,54,0,18,0
a1gd9jru44we8p,contains_threat,111,10,18,9
a1gd9jru44we8p,no_threat,33,6,7,6
a1gp2iovw7rzuo,contains_threat,96,15,24,4
a1gp2iovw7rzuo,no_threat,35,14,11,1
a1j9q00nu7qjn,contains_threat,108,0,32,0
a1j9q00nu7qjn,no_threat,52,1,7,0
a1m4r8ll48xgwe,contains_threat,98,7,26,0
a1m4r8ll48xgwe,no_threat,54,1,13,1
a1msg3v72sbkvu,contains_threat,100,1,21,3
a1msg3v72sbkvu,no_threat,55,4,15,1
a1qcfzj4pfm9wi,contains_threat,99,7,8,15
a1qcfzj4pfm9wi,no_threat,50,4,8,9
a1rukaqh2yaa60,contains_threat,116,2,22,4
a1rukaqh2yaa60,no_threat,42,0,12,2
a1sljknsnhojrn,contains_threat,119,2,27,4
a1sljknsnhojrn,no_threat,40,0,6,2
a1sn7eozuw5vp3,contains_threat,107,0,25,0
a1sn7eozuw5vp3,no_threat,52,2,13,1
a1tr2aokwgq78a,contains_threat,119,1,26,1
a1tr2aokwgq78a,no_threat,39,1,13,0
a1uh6a625gf5md,contains_threat,111,0,25,2
a1uh6a625gf5md,no_threat,48,1,12,1
a1vkzzxju11vn6,contains_threat,115,3,15,2
a1vkzzxju11vn6,no_threat,43,0,21,1
a1vxajieltyk0,contains_threat,113,3,19,3
a1vxajieltyk0,no_threat,44,0,17,1
a1wjakh6lpefad,contains_threat,109,4,23,1
a1wjakh6lpefad,no_threat,46,2,13,2
a1y3jl53xao7qv,contains_threat,118,7,17,11
a1y3jl53xao7qv,no_threat,33,2,4,8
a1ziotmx864njx,contains_threat,108,1,27,2
a1ziotmx864njx,no_threat,49,2,11,0
a20nnuvdl65rvv,contains_threat,110,3,28,1
a20nnuvdl65rvv,no_threat,43,4,11,0
a22llu5metq7cl,contains_threat,112,1,26,0
a22llu5metq7cl,no_threat,48,0,12,1
a24z9rp5yzz2ty,contains_threat,109,1,23,1
a24z9rp5yzz2ty,no_threat,50,1,15,0
a273wocs111dh0,contains_threat,98,5,18,7
a273wocs111dh0,no_threat,53,4,14,1
a2bjmvjxfmt6r3,contains_threat,108,0,27,0
a2bjmvjxfmt6r3,no_threat,52,1,12,0
a2ctbahecdqsix,contains_threat,97,15,16,8
a2ctbahecdqsix,no_threat,46,2,12,4
a2cv1wuwt6n0ik,contains_threat,101,0,25,1
a2cv1wuwt6n0ik,no_threat,59,0,13,1
a2e77jk6yte1mf,contains_threat,106,3,19,1
a2e77jk6yte1mf,no_threat,51,0,19,1
a2jrmx2o50m439,contains_threat,89,14,22,4
a2jrmx2o50m439,no_threat,51,6,12,2
a2kzn3uh5ngc9,contains_threat,106,1,20,2
a2kzn3uh5ngc9,no_threat,52,1,17,1
a2mbfiagbpu5ng,contains_threat,113,2,29,1
a2mbfiagbpu5ng,no_threat,45,0,10,0
a2ok9gzq92mvua,contains_threat,113,0,26,0
a2ok9gzq92mvua,no_threat,48,0,13,0
a2paxzmd7q7nkh,contains_threat,100,9,22,3
a2paxzmd7q7nkh,no_threat,50,1,13,2
a2pfyg0oumvitx,contains_threat,114,2,25,4
a2pfyg0oumvitx,no_threat,44,0,10,1
a2r28i9sm3g0yl,contains_threat,117,4,19,1
a2r28i9sm3g0yl,no_threat,38,1,20,0
a2sr6moqx7kzm5,contains_threat,113,1,27,1
a2sr6moqx7kzm5,no_threat,46,0,11,1
a2t0p6djfriyjv,contains_threat,105,6,22,6
a2t0p6djfriyjv,no_threat,48,2,10,1
a2tbkohgx08vrk,contains_threat,15,97,25,1
a2tbkohgx08vrk,no_threat,7,41,13,1
a2vo8c41jjiqy9,contains_threat,111,6,21,2
a2vo8c41jjiqy9,no_threat,42,2,16,0
a2vr9o234uct9t,contains_threat,98,1,25,1
a2vr9o234uct9t,no_threat,60,2,12,1
a2w8lridtr74l,contains_threat,121,1,28,1
a2w8lridtr74l,no_threat,38,0,11,0
a2y8lzs5c81o25,contains_threat,118,7,22,8
a2y8lzs5c81o25,no_threat,31,4,6,4
a2yvqkjx3fo6p,contains_threat,90,19,25,8
a2yvqkjx3fo6p,no_threat,42,9,5,2
a2z58pti5rfdkk,contains_threat,103,3,25,3
