workerID,assignmentID,Gender,Age,Hispanic,Race
a2ctbahecdqsix,30h4udgltbevbbyuv07ruh1l04tpmh,M,25,HL,A
a178bxd4ubx932,30iqtzxkat23h6tesmuaqxgbygo0xn,F,58,NHL,W
a170wnufjk56wd,317hq483igo9c7wqu6w7yzp9ip1in8,F,64,NHL,W
a3my6t1kdlazvp,31hq4x3t3168ilw1n5a6p9r7myglsq,M,58,NA,W
a3hopybwsr1twr,323q6sjs8rcxsk8pq0v9qiflgh9hf8,M,33,NHL,W
aaislve5u7epm,32eyx73oy95z0wjihu22qmiud06urb,F,53,NHL,W
a2y8lzs5c81o25,32ktq2v7rmbajoinebbu8r16um6m9l,F,26,NHL,W
a3lxaru55pr281,32n49tqg3pe7eum1k9qlriv3rs0vag,F,56,NHL,W
a159ng9mhv7e7v,32vnztt0ag00jyp32obkdik0de54r2,F,61,NHL,W
a3ft026lqj29ip,333u7hk6iibwl6pjnu34evsfh87djw,M,47,NHL,W
avke1noi9tx8z,337rc3ow0eyoadd5h0fb0wbel2alvv,M,27,NHL,W
ajuvx0e4optao,337rc3ow0eyoadd5h0fb0wbels6lv7,F,51,NHL,W
au566wrask7z0,338jkrmm2fv2wtrhfk9hch4ukwyahh,M,26,HL,W
a22llu5metq7cl,339ansotrey841bnxt4r6785n60iku,M,59,NHL,W
apiur4wd44bq1,33c7ualjvuud9udogxmio3isa10817,M,48,NHL,W
a2vo8c41jjiqy9,33tin5lc0d6ad571xez52mod1nr9yl,M,34,NHL,A
a1gp2iovw7rzuo,3483fv8benfxu1cw6mpy98w6y3g62c,F,57,NHL,W
a1msg3v72sbkvu,3483fv8benfxu1cw6mpy98w6ymg62e,M,54,NHL,W
a12d8yonw8tywu,34hjijklpessc56kb8guef93xeb4vb,F,35,NHL,W
a273wocs111dh0,34q075jo169vr58llt93voc9zvf10u,F,35,NHL,AI
a2jrmx2o50m439,358uum7wr8zx2l7m4m9rgu4a5ex7ro,M,57,NHL,W
a2z58pti5rfdkk,3634bbtx0xqxofj9widuqug0ghgfi1,F,40,NHL,W
az8aol78l8c84,36dsne9qzeunp3g8d3hkpp4ekobjoz,F,55,NHL,W
a36fx03tepqjzp,36nemu28xo9lvkvv7mlmmb9ht1wmw9,M,31,HL,W
aopa6r7jgglos,36tfcyns4d6es6zaqu1vwpfsk3yxh6,F,42,NHL,W
a9w3mmlggwvt1,37kgen7njcm1wev7ngzjblvg594ppd,M,26,HL,A
a2cv1wuwt6n0ik,37q970snzn4vsesxuvsn5uitnwe1sa,M,51,NHL,W
a389ua2grcj6,37td41k0aq5ffh2vash7mq1kthzscz,M,51,NHL,W
a1fkghyvtl6vvc,37uqdcyh66rpvso3d6e1hrtdol0v7v,F,44,HL,W
a2t0p6djfriyjv,37xitheis553e22iv3h2wgwo607crr,M,27,NHL,W
a2mbfiagbpu5ng,38sksku7ratjo7t5itgsl7lkdu1il6,F,61,NHL,W
a1fhkk0ru69ru,39asuflu66328w880ttpbmifsimxew,F,61,NHL,W
a3pfngxng8gkzz,39jec75373xv79jz4nmcxdlrpwscv6,F,48,NHL,W
atny69ui91lmq,39l1g8wvwznr8x7i4grmxmahw6013k,M,56,NHL,W
a24z9rp5yzz2ty,39loel67o119jxr33101cwxp8le83z,M,34,NHL,W
a1ziotmx864njx,3auqqel7uepbdhojs7ts2cjqjic0v7,F,51,NHL,W
a2yvqkjx3fo6p,3bwi6rsp7p58th2higprhn5rqus7e6,M,25,NHL,W
a2vr9o234uct9t,3c2nj6jbkjd51mio53bfbjisr2d2n6,F,52,HL,M
a1sn7eozuw5vp3,3c2nj6jbkjd51mio53bfbjisrxd2nw,M,44,NHL,AA
a3leldiql1ahii,3c5w7ue9com0kk0lhrh8ouno232mx2,F,51,NHL,W
a888zdvrcgqyb,3cplwgv3mxvg163nqcqul6q60xon91,M,56,HL,W
a3elh8dgvle6tl,3del4x4elfh0e1pz0u5jipavau1xyl,M,54,NHL,W
ax8nxtt8qmghc,3dzqrbdbsubr2h6chz66tnxps54s3o,F,31,NHL,W
a1wjakh6lpefad,3fe7txl1lrjq4jvglv3wfddxyctq2a,F,24,NHL,W
admumzbdceenr,3fprzhyep737u9ngbubb4ahxlh03vi,M,55,NHL,W
a334ufaoo187w7,3g0wwmr1u4gmt5k97e1g71gv95vqn8,M,54,NHL,W
a2w8lridtr74l,3gd6l00d31tsujfsayw1tljnwtq1m1,M,52,NHL,W
a3ov4lf262cki3,3gfk2qrxxidnndapfn4059yv6mt5wk,F,49,NHL,W
a1j9q00nu7qjn,3gm6g9zbkwtt33r1chgbzr2iomktmp,M,60,NHL,W
a20nnuvdl65rvv,3gm6g9zbkwtt33r1chgbzr2ion0tm7,F,64,NHL,W
a3ljsvb3hlepnw,3gnczx450rju9ap5yxhmlq6l356aph,F,55,NHL,W
a2paxzmd7q7nkh,3gu1kf0o4rxzskux4bhig1qrmoybpn,F,62,NHL,W
a7b9gor4ql3zv,3h8dhmccwi7rwqv15f3gfassw8pkd6,M,64,NHL,W
a1gd9jru44we8p,3hmigg0u4u2az0orsmtr2qt2jku8yo,F,49,NHL,W
a3hqxcwoiqkt4f,3hsyg7lrbsuzaw1bxwp3jnnihpskk6,M,34,NHL,W
a2pfyg0oumvitx,3hutx6f6v3jnj7i06ibsq8ixh7i2ob,M,35,NHL,W
a3keggehkzm0gy,3hutx6f6v3jnj7i06ibsq8ixhci2ol,F,59,NHL,W
a1rukaqh2yaa60,3ias3u3i0oc30dtr2d66koiyd20b28,F,58,NHL,W
a3vdg4n48avygq,3ix2egzr7kfqmg8o5vyojk9jw88rjo,M,37,NHL,W
aeju0mcyoqc77,3jwh6j9i919zpzikow4qcclwm9xbnr,M,32,NHL,W
a9692y27lbxt9,3k4j6m3cxnpowxw6verzrhst4bngaj,M,30,NHL,W
are6er0c6o2a1,3kwtyt0879z7cjyqb9xywyhf8h05l6,M,51,NHL,W
a3o0qzq4v2ixt7,3leiz60cdsvaivh6t01ogtxf7hv9zc,F,48,NHL,W
a3f293q71v7lxq,3lozaj85ym9adgws79yo9l9qvqf2x4,F,48,NHL,W
ap4b1gjit3hyf,3lrliptpez5tyjspl5cep9kmbtlakz,F,62,NHL,W
a1tr2aokwgq78a,3m81gab8a9fkswvc4ow7g6g1rkkbqe,F,47,NHL,W
a30dhhal100lzr,3nd9uoo81ty1p2da7ak7myusq97wl5,M,58,NA,W
a1qcfzj4pfm9wi,3ngi5arft21yfmc52eotapdi1y11px,M,43,NHL,AI
acvwp0mrau69a,3nkqq8o39715zm0dzt7ilx1qycvudb,M,57,NHL,W
a15ps12r80cwtu,3nlzy2d53ylw55hov1l1u9c64avql6,F,64,NHL,W
a1ad2bdqyttjil,3npfyt4izl00sa4z6ojdbp3r53lxg7,M,22,NHL,AI
a3ntgjuqjig4n5,3ns0a6kxcd4px54e767y8aj2dy0gzu,F,49,NHL,W
ac7cdw53i98jt,3oswbblg1ntxgqu84yi5540us6lxd3,M,32,NHL,W
a11exib1mvbzfj,3oxv7eaxlnmmfj8fam33si1y40g36m,M,51,NHL,W
a2kzn3uh5ngc9,3qilpralqergn1kdlkkglavvgr6n8c,F,27,NHL,W
aa5zdxaa2dly1,3ql2ofsm9feiz4aq2w0lnwre3oqcnf,F,41,NHL,AA
a3eqr9c0l23o6e,3qy5dc2mx0g2x6e9qz289x4agsuuff,F,43,NHL,W
a1uh6a625gf5md,3r2pkq87n543upbqi5h7lk09dzrim8,M,62,NHL,W
a30rzc1ay4scu,3ranct1zvodckp2tlxgcq7dqvrjub4,F,58,NHL,W
a1vxajieltyk0,3s4aw7t80kepg0uqx4eor6b16hsl4u,M,56,HL,W
a1618ra11zod8y,3snvl38cidohrypn5j85v4aacnmkca,F,27,NHL,W
a2bjmvjxfmt6r3,3tk8ojtymahe1ys39s8ihdkyr48pvf,M,57,NHL,W
axoe3wa9yt5mf,3tu5zicbrmx1qyx51ccxp4q0l2t8qk,F,63,NHL,W
a46s5o7bf1op1,3tvrfo09gtbge2i0hfgtoh8z13elxa,M,55,NHL,W
a12t55b08jjyyv,3tvrfo09gtbge2i0hfgtoh8z1dixla,M,25,NHL,W
a1649w6vs1xi17,3txmy6ucank321niios2rqmjae5cqq,F,27,HL,AI
a2sr6moqx7kzm5,3u0srxb7cm1m56z9ktqgcrq05htrnm,F,45,NHL,W
a1y3jl53xao7qv,3un61f00h5lifht3gtuuiaqee7dr52,M,29,NHL,AI
a2ok9gzq92mvua,3va45ew49wjgum04nebelp8srt51og,M,54,NHL,W
a109tuq8wk2vjg,3vnl7uk1xofnxtzkqucy41i9sd5ftm,F,36,NHL,W
a300upnthsr0im,3wmoan2srkteydgqtdvqdof3q5zvnc,F,32,NHL,W
a2e77jk6yte1mf,3wq3b2kgehcwbsbvj96sf58tkhdb1n,M,35,NHL,W
a14ycuva8hebx7,3wrfbplxrjkum4e793pkutnkz753nu,M,57,NHL,W
a3g8jhyiniop64,3wz36bjevccxkcn4lsq2lbroch3tbb,F,60,NHL,AI
a1sljknsnhojrn,3x08e93bh4elc2vxto11zldiefb660,M,39,NHL,W
a2r28i9sm3g0yl,3x65qveqi9jsb475qjk6a4np054lcq,M,56,NHL,W
azniefuivb2h0,3xiqgxauml4hzhtydlfj5cqy6n17xn,M,55,NHL,W
