subject,src,n_trials,score1,score2,score3
a12abieib85r9u,picture10_neutral.jpg,1,1,3,3
a12abieib85r9u,picture1_neutral.jpg,1,1,3,3
a12abieib85r9u,picture1_threat.jpg,1,3,1,1
a12abieib85r9u,picture2_neutral.jpg,1,3,1,1
a12abieib85r9u,picture2_threat.jpg,1,3,1,1
a12abieib85r9u,picture3_neutral.jpg,1,3,1,1
a12abieib85r9u,picture3_threat.jpg,1,3,1,1
a12abieib85r9u,picture4_threat.jpg,1,3,1,1
a12abieib85r9u,picture7_neutral.jpg,1,3,1,1
a12abieib85r9u,picture9_neutral.jpg,1,3,1,1
a12d8yonw8tywu,picture1_neutral.jpg,1,2,1,1
a12d8yonw8tywu,picture1_threat.jpg,1,1,2,2
a12d8yonw8tywu,picture2_threat.jpg,1,2,1,1
a12d8yonw8tywu,picture3_neutral.jpg,1,1,2,2
a12d8yonw8tywu,picture3_threat.jpg,1,2,1,1
a12d8yonw8tywu,picture4_neutral.jpg,1,2,1,1
a12d8yonw8tywu,picture4_threat.jpg,1,2,1,1
a12d8yonw8tywu,picture5_neutral.jpg,1,2,1,1
a12d8yonw8tywu,picture7_neutral.jpg,1,2,1,1
a12d8yonw8tywu,picture9_neutral.jpg,1,2,1,1
a15sb9kagzmj4g,picture1_threat.jpg,4,1.75,4,4
a15sb9kagzmj4g,picture2_threat.jpg,4,2.5,3.25,3.25
a15sb9kagzmj4g,picture3_neutral.jpg,4,4.75,1,1
a15sb9kagzmj4g,picture3_threat.jpg,4,4.75,1,1
a15sb9kagzmj4g,picture4_neutral.jpg,4,3,2.75,2.75
a15sb9kagzmj4g,picture4_threat.jpg,4,4.75,1,1
a15sb9kagzmj4g,picture5_neutral.jpg,4,2.75,3,3
a15sb9kagzmj4g,picture6_neutral.jpg,4,3.75,2,2
a15sb9kagzmj4g,picture8_neutral.jpg,4,4.5,1.25,1.25
a15sb9kagzmj4g,picture9_neutral.jpg,4,2.25,3.5,3.5
a1fhkk0ru69ru,picture10_neutral.jpg,5,7.8,5.4,5.4
a1fhkk0ru69ru,picture1_neutral.jpg,5,8,5.2,5.2
a1fhkk0ru69ru,picture1_threat.jpg,5,3,10.2,10.2
a1fhkk0ru69ru,picture2_neutral.jpg,5,4,9.2,9.2
a1fhkk0ru69ru,picture2_threat.jpg,5,2.8,10.4,10.4
a1fhkk0ru69ru,picture3_neutral.jpg,5,7.4,5.8,5.8
a1fhkk0ru69ru,picture3_threat.jpg,5,6.8,6.4,6.4
a1fhkk0ru69ru,picture4_threat.jpg,5,2.6,10.6,10.6
a1fhkk0ru69ru,picture5_neutral.jpg,5,2.6,10.6,10.6
a1fhkk0ru69ru,picture8_neutral.jpg,5,4.4,8.8,8.8
a1fkghyvtl6vvc,picture10_neutral.jpg,1,2,1,1
a1fkghyvtl6vvc,picture1_threat.jpg,1,2,1,1
a1fkghyvtl6vvc,picture2_neutral.jpg,1,2,1,1
a1fkghyvtl6vvc,picture2_threat.jpg,1,2,1,1
a1fkghyvtl6vvc,picture3_threat.jpg,1,2,1,1
a1fkghyvtl6vvc,picture4_neutral.jpg,1,1,2,2
a1fkghyvtl6vvc,picture4_threat.jpg,1,1,2,2
a1fkghyvtl6vvc,picture6_neutral.jpg,1,2,1,1
a1fkghyvtl6vvc,picture8_neutral.jpg,1,2,1,1
a1fkghyvtl6vvc,picture9_neutral.jpg,1,2,1,1
a1sljknsnhojrn,picture10_neutral.jpg,2,4,1,1
a1sljknsnhojrn,picture1_threat.jpg,2,4,1,1
a1sljknsnhojrn,picture2_threat.jpg,2,4,1,1
a1sljknsnhojrn,picture3_neutral.jpg,2,3,2,2
a1sljknsnhojrn,picture3_threat.jpg,2,2,3,3
a1sljknsnhojrn,picture4_neutral.jpg,2,1.5,3.5,3.5
a1sljknsnhojrn,picture4_threat.jpg,2,1.5,3.5,3.5
a1sljknsnhojrn,picture5_neutral.jpg,2,1.5,3.5,3.5
a1sljknsnhojrn,picture6_neutral.jpg,2,4,1,1
a1sljknsnhojrn,picture7_neutral.jpg,2,2.5,2.5,2.5
a1sn7eozuw5vp3,picture10_neutral.jpg,5,3.4,1,1
a1sn7eozuw5vp3,picture1_neutral.jpg,5,1.6,2.8,2.8
a1sn7eozuw5vp3,picture1_threat.jpg,5,1.6,2.8,2.8
a1sn7eozuw5vp3,picture2_neutral.jpg,5,2.8,1.6,1.6
a1sn7eozuw5vp3,picture2_threat.jpg,5,2.8,1.6,1.6
a1sn7eozuw5vp3,picture3_neutral.jpg,5,3.4,1,1
a1sn7eozuw5vp3,picture3_threat.jpg,5,3,1.4,1.4
a1sn7eozuw5vp3,picture4_threat.jpg,5,2.8,1.6,1.6
a1sn7eozuw5vp3,picture7_neutral.jpg,5,1.6,2.8,2.8
a1sn7eozuw5vp3,picture9_neutral.jpg,5,2.4,2,2
a1vkzzxju11vn6,picture1_neutral.jpg,1,7,1,11
a1vkzzxju11vn6,picture1_threat.jpg,1,6,7,7
a1vkzzxju11vn6,picture2_threat.jpg,1,9,4,4
a1vkzzxju11vn6,picture3_neutral.jpg,1,1,12,12
a1vkzzxju11vn6,picture3_threat.jpg,1,12,1,1
a1vkzzxju11vn6,picture4_neutral.jpg,1,11,1,12
a1vkzzxju11vn6,picture4_threat.jpg,1,10,3,3
a1vkzzxju11vn6,picture5_neutral.jpg,1,12,1,1
a1vkzzxju11vn6,picture6_neutral.jpg,1,12,1,1
a1vkzzxju11vn6,picture7_neutral.jpg,1,8,5,5
a1ziotmx864njx,picture1_neutral.jpg,1,5,1,1
a1ziotmx864njx,picture1_threat.jpg,1,3,3,3
a1ziotmx864njx,picture2_threat.jpg,1,1,5,5
a1ziotmx864njx,picture3_neutral.jpg,1,1,5,5
a1ziotmx864njx,picture3_threat.jpg,1,1,5,5
a1ziotmx864njx,picture4_neutral.jpg,1,4,2,2
a1ziotmx864njx,picture4_threat.jpg,1,1,5,5
a1ziotmx864njx,picture7_neutral.jpg,1,1,5,5
a1ziotmx864njx,picture8_neutral.jpg,1,1,5,5
a1ziotmx864njx,picture9_neutral.jpg,1,1,5,5
a20nnuvdl65rvv,picture1_neutral.jpg,1,1,4,4
a20nnuvdl65rvv,picture1_threat.jpg,1,4,1,1
a20nnuvdl65rvv,picture2_threat.jpg,1,1,4,4
a20nnuvdl65rvv,picture3_neutral.jpg,1,1,4,4
a20nnuvdl65rvv,picture3_threat.jpg,1,4,1,1
a20nnuvdl65rvv,picture4_threat.jpg,1,1,4,4
a20nnuvdl65rvv,picture5_neutral.jpg,1,4,1,1
a20nnuvdl65rvv,picture6_neutral.jpg,1,4,1,1
a20nnuvdl65rvv,picture7_neutral.jpg,1,1,4,4
a20nnuvdl65rvv,picture8_neutral.jpg,1,4,1,1
a24z9rp5yzz2ty,picture1_threat.jpg,1,4,1,1
a24z9rp5yzz2ty,picture2_neutral.jpg,1,4,1,1
a24z9rp5yzz2ty,picture2_threat.jpg,1,2,3,3
a24z9rp5yzz2ty,picture3_neutral.jpg,1,1,4,4
a24z9rp5yzz2ty,picture3_threat.jpg,1,4,1,1
a24z9rp5yzz2ty,picture4_neutral.jpg,1,4,1,1
a24z9rp5yzz2ty,picture4_threat.jpg,1,4,1,1
a24z9rp5yzz2ty,picture6_neutral.jpg,1,3,2,2
a24z9rp5yzz2ty,picture7_neutral.jpg,1,1,4,4
a24z9rp5yzz2ty,picture9_neutral.jpg,1,4,1,1
a273wocs111dh0,picture10_neutral.jpg,1,3,8,8
a273wocs111dh0,picture1_threat.jpg,1,4,7,7
