subject,trialCount,src,sum_correct_trials,first_correct,first_correct_no_further_mistakes
a12abieib85r9u,2,picture10_neutral.jpg,1,3,3
a12abieib85r9u,2,picture1_neutral.jpg,1,3,3
a12abieib85r9u,2,picture1_threat.jpg,3,1,1
a12abieib85r9u,2,picture2_neutral.jpg,3,1,1
a12abieib85r9u,2,picture2_threat.jpg,3,1,1
a12abieib85r9u,2,picture3_neutral.jpg,3,1,1
a12abieib85r9u,2,picture3_threat.jpg,3,1,1
a12abieib85r9u,2,picture4_threat.jpg,3,1,1
a12abieib85r9u,2,picture7_neutral.jpg,3,1,1
a12abieib85r9u,2,picture9_neutral.jpg,3,1,1
a12d8yonw8tywu,2,picture1_neutral.jpg,2,1,1
a12d8yonw8tywu,2,picture1_threat.jpg,1,2,2
a12d8yonw8tywu,2,picture2_threat.jpg,2,1,1
a12d8yonw8tywu,2,picture3_neutral.jpg,1,2,2
a12d8yonw8tywu,2,picture3_threat.jpg,2,1,1
a12d8yonw8tywu,2,picture4_neutral.jpg,2,1,1
a12d8yonw8tywu,2,picture4_threat.jpg,2,1,1
a12d8yonw8tywu,2,picture5_neutral.jpg,2,1,1
a12d8yonw8tywu,2,picture7_neutral.jpg,2,1,1
a12d8yonw8tywu,2,picture9_neutral.jpg,2,1,1
a15sb9kagzmj4g,2,picture1_threat.jpg,2,4,4
a15sb9kagzmj4g,2,picture2_threat.jpg,2,4,4
a15sb9kagzmj4g,2,picture3_neutral.jpg,5,1,1
a15sb9kagzmj4g,2,picture3_threat.jpg,5,1,1
a15sb9kagzmj4g,2,picture4_neutral.jpg,1,5,5
a15sb9kagzmj4g,2,picture4_threat.jpg,5,1,1
a15sb9kagzmj4g,2,picture5_neutral.jpg,1,5,5
a15sb9kagzmj4g,2,picture6_neutral.jpg,5,1,1
a15sb9kagzmj4g,2,picture8_neutral.jpg,5,1,1
a15sb9kagzmj4g,2,picture9_neutral.jpg,5,1,1
a15sb9kagzmj4g,3,picture1_threat.jpg,1,6,6
a15sb9kagzmj4g,3,picture2_threat.jpg,6,1,1
a15sb9kagzmj4g,3,picture3_neutral.jpg,6,1,1
a15sb9kagzmj4g,3,picture3_threat.jpg,6,1,1
a15sb9kagzmj4g,3,picture4_neutral.jpg,6,1,1
a15sb9kagzmj4g,3,picture4_threat.jpg,6,1,1
a15sb9kagzmj4g,3,picture5_neutral.jpg,2,5,5
a15sb9kagzmj4g,3,picture6_neutral.jpg,3,4,4
a15sb9kagzmj4g,3,picture8_neutral.jpg,5,2,2
a15sb9kagzmj4g,3,picture9_neutral.jpg,1,6,6
a15sb9kagzmj4g,4,picture1_threat.jpg,3,3,3
a15sb9kagzmj4g,4,picture2_threat.jpg,1,5,5
a15sb9kagzmj4g,4,picture3_neutral.jpg,5,1,1
a15sb9kagzmj4g,4,picture3_threat.jpg,5,1,1
a15sb9kagzmj4g,4,picture4_neutral.jpg,2,4,4
a15sb9kagzmj4g,4,picture4_threat.jpg,5,1,1
a15sb9kagzmj4g,4,picture5_neutral.jpg,5,1,1
a15sb9kagzmj4g,4,picture6_neutral.jpg,5,1,1
a15sb9kagzmj4g,4,picture8_neutral.jpg,5,1,1
a15sb9kagzmj4g,4,picture9_neutral.jpg,1,5,5
a15sb9kagzmj4g,5,picture1_threat.jpg,1,3,3
a15sb9kagzmj4g,5,picture2_threat.jpg,1,3,3
a15sb9kagzmj4g,5,picture3_neutral.jpg,3,1,1
a15sb9kagzmj4g,5,picture3_threat.jpg,3,1,1
a15sb9kagzmj4g,5,picture4_neutral.jpg,3,1,1
a15sb9kagzmj4g,5,picture4_threat.jpg,3,1,1
a15sb9kagzmj4g,5,picture5_neutral.jpg,3,1,1
a15sb9kagzmj4g,5,picture6_neutral.jpg,2,2,2
a15sb9kagzmj4g,5,picture8_neutral.jpg,3,1,1
a15sb9kagzmj4g,5,picture9_neutral.jpg,2,2,2
a1fhkk0ru69ru,2,picture10_neutral.jpg,3,9,9
a1fhkk0ru69ru,2,picture1_neutral.jpg,11,1,1
a1fhkk0ru69ru,2,picture1_threat.jpg,7,5,5
a1fhkk0ru69ru,2,picture2_neutral.jpg,2,10,10
a1fhkk0ru69ru,2,picture2_threat.jpg,1,11,11
a1fhkk0ru69ru,2,picture3_neutral.jpg,7,5,5
a1fhkk0ru69ru,2,picture3_threat.jpg,7,5,5
a1fhkk0ru69ru,2,picture4_threat.jpg,1,11,11
a1fhkk0ru69ru,2,picture5_neutral.jpg,5,7,7
a1fhkk0ru69ru,2,picture8_neutral.jpg,11,1,1
a1fhkk0ru69ru,3,picture10_neutral.jpg,20,10,10
a1fhkk0ru69ru,3,picture1_neutral.jpg,8,22,22
a1fhkk0ru69ru,3,picture1_threat.jpg,1,29,29
a1fhkk0ru69ru,3,picture2_neutral.jpg,11,19,19
a1fhkk0ru69ru,3,picture2_threat.jpg,8,22,22
a1fhkk0ru69ru,3,picture3_neutral.jpg,9,21,21
a1fhkk0ru69ru,3,picture3_threat.jpg,7,23,23
a1fhkk0ru69ru,3,picture4_threat.jpg,4,26,26
a1fhkk0ru69ru,3,picture5_neutral.jpg,1,29,29
a1fhkk0ru69ru,3,picture8_neutral.jpg,3,27,27
a1fhkk0ru69ru,4,picture10_neutral.jpg,9,6,6
a1fhkk0ru69ru,4,picture1_neutral.jpg,14,1,1
a1fhkk0ru69ru,4,picture1_threat.jpg,4,11,11
a1fhkk0ru69ru,4,picture2_neutral.jpg,2,13,13
a1fhkk0ru69ru,4,picture2_threat.jpg,1,14,14
a1fhkk0ru69ru,4,picture3_neutral.jpg,14,1,1
a1fhkk0ru69ru,4,picture3_threat.jpg,13,2,2
a1fhkk0ru69ru,4,picture4_threat.jpg,1,14,14
a1fhkk0ru69ru,4,picture5_neutral.jpg,3,12,12
a1fhkk0ru69ru,4,picture8_neutral.jpg,4,11,11
a1fhkk0ru69ru,5,picture10_neutral.jpg,3,1,1
a1fhkk0ru69ru,5,picture1_neutral.jpg,3,1,1
a1fhkk0ru69ru,5,picture1_threat.jpg,1,3,3
a1fhkk0ru69ru,5,picture2_neutral.jpg,1,3,3
a1fhkk0ru69ru,5,picture2_threat.jpg,3,1,1
a1fhkk0ru69ru,5,picture3_neutral.jpg,3,1,1
a1fhkk0ru69ru,5,picture3_threat.jpg,3,1,1
a1fhkk0ru69ru,5,picture4_threat.jpg,3,1,1
a1fhkk0ru69ru,5,picture5_neutral.jpg,3,1,1
a1fhkk0ru69ru,5,picture8_neutral.jpg,2,2,2
a1fhkk0ru69ru,6,picture10_neutral.jpg,4,1,1
a1fhkk0ru69ru,6,picture1_neutral.jpg,4,1,1
a1fhkk0ru69ru,6,picture1_threat.jpg,2,3,3
a1fhkk0ru69ru,6,picture2_neutral.jpg,4,1,1
a1fhkk0ru69ru,6,picture2_threat.jpg,1,4,4
a1fhkk0ru69ru,6,picture3_neutral.jpg,4,1,1
a1fhkk0ru69ru,6,picture3_threat.jpg,4,1,1
a1fhkk0ru69ru,6,picture4_threat.jpg,4,1,1
a1fhkk0ru69ru,6,picture5_neutral.jpg,1,4,4
a1fhkk0ru69ru,6,picture8_neutral.jpg,2,3,3
a1fkghyvtl6vvc,4,picture10_neutral.jpg,2,1,1
a1fkghyvtl6vvc,4,picture1_threat.jpg,2,1,1
a1fkghyvtl6vvc,4,picture2_neutral.jpg,2,1,1
a1fkghyvtl6vvc,4,picture2_threat.jpg,2,1,1
a1fkghyvtl6vvc,4,picture3_threat.jpg,2,1,1
a1fkghyvtl6vvc,4,picture4_neutral.jpg,1,2,2
a1fkghyvtl6vvc,4,picture4_threat.jpg,1,2,2
a1fkghyvtl6vvc,4,picture6_neutral.jpg,2,1,1
a1fkghyvtl6vvc,4,picture8_neutral.jpg,2,1,1
a1fkghyvtl6vvc,4,picture9_neutral.jpg,2,1,1
a1sljknsnhojrn,2,picture10_neutral.jpg,6,1,1
a1sljknsnhojrn,2,picture1_threat.jpg,6,1,1
a1sljknsnhojrn,2,picture2_threat.jpg,6,1,1
a1sljknsnhojrn,2,picture3_neutral.jpg,4,3,3
a1sljknsnhojrn,2,picture3_threat.jpg,3,4,4
a1sljknsnhojrn,2,picture4_neutral.jpg,1,6,6
a1sljknsnhojrn,2,picture4_threat.jpg,2,5,5
