subject,transitionType,transitionThreatKind,trialCount,blockTrialCount,block,RT,acc,activeNodeCommunityCongruency,bondaryNodeStatus,communityTransitionStatus,missedSkipStatus,falseAlarmStatus,activeNodeThreatStatus
a2ctbahecdqsix,l,neutral-threat,1,1,1,1350,0,incongruent,i,0,1,0,threat
a2ctbahecdqsix,l,threat-threat,2,2,1,1861,0,incongruent,b,0,1,0,threat
a2ctbahecdqsix,l,threat-neutral,3,3,1,NA,1,congruent,b,1,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,4,4,1,NA,1,incongruent,b,1,1,1,threat
a2ctbahecdqsix,i,threat-threat,5,5,1,NA,0,congruent,i,1,0,1,threat
a2ctbahecdqsix,l,threat-neutral,6,6,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,i,neutral-threat,7,7,1,1136,1,incongruent,i,1,1,1,threat
a2ctbahecdqsix,l,threat-neutral,8,8,1,1539,0,incongruent,i,0,1,0,neutral
a2ctbahecdqsix,i,neutral-threat,9,9,1,1201,1,congruent,i,1,1,1,threat
a2ctbahecdqsix,l,threat-neutral,10,10,1,1779,0,congruent,i,0,1,0,neutral
a2ctbahecdqsix,l,neutral-threat,11,11,1,1396,0,congruent,i,0,1,0,threat
a2ctbahecdqsix,l,threat-neutral,12,12,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,13,13,1,NA,1,congruent,b,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,14,14,1,1563,0,congruent,i,0,1,0,threat
a2ctbahecdqsix,l,threat-threat,15,15,1,NA,1,congruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,16,16,1,638,0,congruent,i,0,1,0,neutral
a2ctbahecdqsix,i,neutral-threat,17,17,1,2326,1,incongruent,b,1,1,1,threat
a2ctbahecdqsix,l,threat-neutral,18,18,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,19,19,1,180,0,incongruent,i,0,1,0,threat
a2ctbahecdqsix,l,threat-neutral,20,20,1,1630,0,incongruent,i,0,1,0,neutral
a2ctbahecdqsix,l,neutral-neutral,21,21,1,1605,0,incongruent,i,0,1,0,neutral
a2ctbahecdqsix,i,neutral-neutral,22,22,1,NA,0,congruent,i,1,0,1,neutral
a2ctbahecdqsix,l,neutral-threat,23,23,1,NA,1,congruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-threat,24,24,1,NA,1,congruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,25,25,1,359,0,congruent,i,0,1,0,neutral
a2ctbahecdqsix,l,neutral-neutral,26,26,1,NA,1,congruent,b,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,27,27,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,i,neutral-threat,28,28,1,NA,0,incongruent,b,1,0,1,threat
a2ctbahecdqsix,l,threat-threat,29,29,1,1569,0,incongruent,i,0,1,0,threat
a2ctbahecdqsix,l,threat-neutral,30,30,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,31,31,1,NA,1,incongruent,b,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,32,32,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,33,33,1,NA,1,incongruent,b,0,1,1,threat
a2ctbahecdqsix,i,threat-neutral,34,34,1,NA,0,congruent,i,1,0,1,neutral
a2ctbahecdqsix,l,neutral-threat,35,35,1,NA,1,congruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,36,36,1,NA,1,congruent,b,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,37,37,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,i,neutral-neutral,38,38,1,1329,1,incongruent,i,1,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,39,39,1,NA,1,incongruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,40,40,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,41,41,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,42,42,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,i,neutral-threat,43,43,1,1226,1,congruent,i,1,1,1,threat
a2ctbahecdqsix,l,threat-neutral,44,44,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,45,45,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,46,46,1,NA,1,congruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,47,47,1,NA,1,congruent,b,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,48,48,1,NA,1,congruent,i,0,1,1,threat
a2ctbahecdqsix,i,threat-neutral,49,49,1,1291,1,incongruent,i,1,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,50,50,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,51,51,1,NA,1,incongruent,b,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,52,52,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,53,53,1,NA,1,incongruent,i,0,1,1,threat
a2ctbahecdqsix,i,threat-threat,54,54,1,1214,1,congruent,i,1,1,1,threat
a2ctbahecdqsix,l,threat-neutral,55,55,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,56,56,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,57,57,1,NA,1,congruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,58,58,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,i,neutral-neutral,59,59,1,1161,1,incongruent,i,1,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,60,60,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,61,61,1,NA,1,incongruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,62,62,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,i,neutral-neutral,63,63,1,NA,0,congruent,b,1,0,1,neutral
a2ctbahecdqsix,l,neutral-neutral,64,64,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,65,65,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,66,66,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,67,67,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,68,68,1,NA,1,congruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,69,69,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,i,neutral-threat,70,70,1,1172,1,incongruent,i,1,1,1,threat
a2ctbahecdqsix,l,threat-neutral,71,71,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,72,72,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,i,neutral-threat,73,73,1,1578,1,congruent,i,1,1,1,threat
a2ctbahecdqsix,l,threat-neutral,74,74,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,75,75,1,NA,1,congruent,b,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,76,76,1,NA,1,congruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,77,77,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,78,78,1,NA,1,congruent,b,0,1,1,neutral
a2ctbahecdqsix,i,neutral-threat,79,79,1,1045,1,incongruent,i,1,1,1,threat
a2ctbahecdqsix,l,threat-neutral,80,80,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,81,81,1,NA,1,incongruent,b,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,82,82,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,83,83,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,i,neutral-neutral,84,84,1,1170,1,congruent,b,1,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,85,85,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,86,86,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,87,87,1,NA,1,congruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-threat,88,88,1,NA,1,congruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,89,89,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,i,neutral-neutral,90,90,1,1450,1,incongruent,i,1,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,91,91,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,92,92,1,NA,1,incongruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,93,93,1,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,i,neutral-neutral,94,94,1,1185,1,congruent,i,1,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,95,95,1,NA,1,congruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-threat,96,96,1,NA,1,congruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,97,97,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-threat,98,98,1,NA,1,congruent,i,0,1,1,threat
a2ctbahecdqsix,l,threat-neutral,99,99,1,NA,1,congruent,i,0,1,1,neutral
a2ctbahecdqsix,i,neutral-threat,100,100,1,NA,0,incongruent,b,1,0,1,threat
a2ctbahecdqsix,l,threat-neutral,101,1,2,NA,1,incongruent,i,0,1,1,neutral
a2ctbahecdqsix,l,neutral-neutral,102,2,2,NA,1,incongruent,i,0,1,1,neutral
