subject,transitionType,acc,transitionThreatKind
a2ctbahecdqsix,l,0,neutral-threat
a2ctbahecdqsix,l,0,threat-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,i,0,threat-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,i,1,neutral-threat
a2ctbahecdqsix,l,0,threat-neutral
a2ctbahecdqsix,i,1,neutral-threat
a2ctbahecdqsix,l,0,threat-neutral
a2ctbahecdqsix,l,0,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,0,neutral-threat
a2ctbahecdqsix,l,1,threat-threat
a2ctbahecdqsix,l,0,threat-neutral
a2ctbahecdqsix,i,1,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,0,neutral-threat
a2ctbahecdqsix,l,0,threat-neutral
a2ctbahecdqsix,l,0,neutral-neutral
a2ctbahecdqsix,i,0,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-threat
a2ctbahecdqsix,l,0,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,i,0,neutral-threat
a2ctbahecdqsix,l,0,threat-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,i,0,threat-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,i,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,i,1,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,i,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,i,1,threat-threat
a2ctbahecdqsix,l,1,threat-neutral
a2ctbahecdqsix,l,1,neutral-neutral
a2ctbahecdqsix,l,1,neutral-threat
a2ctbahecdqsix,l,1,threat-neutral
