subject,transition_threat,correct_rejections,false_alarms,hits,misses,dprime,anxiety_level
a109tuq8wk2vjg,contains_threat,107,0,26,4,3.659744656143495,low trait anxiety
a109tuq8wk2vjg,no_threat,52,1,10,0,3.6051274546404555,low trait anxiety
a11exib1mvbzfj,contains_threat,114,0,25,0,4.693695200301965,moderate trait anxiety
a11exib1mvbzfj,no_threat,46,0,15,0,4.165771812011431,moderate trait anxiety
a12abieib85r9u,contains_threat,90,17,5,20,0.18502578932139624,low trait anxiety
a12abieib85r9u,no_threat,46,7,6,9,0.8481227987479711,low trait anxiety
a12d8yonw8tywu,contains_threat,105,3,27,2,3.2336423076658196,high trait anxiety
a12d8yonw8tywu,no_threat,48,5,10,0,2.9616917508947376,high trait anxiety
a12t55b08jjyyv,contains_threat,126,0,28,0,4.771805561594146,low trait anxiety
a12t55b08jjyyv,no_threat,34,0,12,0,3.95817479404079,low trait anxiety
a14ycuva8hebx7,contains_threat,108,1,28,2,3.608337061828093,moderate trait anxiety
a14ycuva8hebx7,no_threat,48,3,10,0,3.1867685058012603,moderate trait anxiety
a159ng9mhv7e7v,contains_threat,112,3,22,1,3.4123862351260303,high trait anxiety
a159ng9mhv7e7v,no_threat,45,0,15,2,3.3802201173198556,high trait anxiety
a15ps12r80cwtu,contains_threat,107,0,25,1,4.195549245680164,high trait anxiety
a15ps12r80cwtu,no_threat,50,3,14,0,3.3494786602047872,high trait anxiety
a15sb9kagzmj4g,contains_threat,120,3,11,15,1.72077679405292,high trait anxiety
a15sb9kagzmj4g,no_threat,32,5,8,6,1.2271709218705373,high trait anxiety
a1618ra11zod8y,contains_threat,109,2,22,4,2.975425655220193,moderate trait anxiety
a1618ra11zod8y,no_threat,47,2,9,5,1.985548454039268,moderate trait anxiety
a1649w6vs1xi17,contains_threat,90,8,17,8,1.815132455113897,low trait anxiety
a1649w6vs1xi17,no_threat,58,4,6,9,1.2280316833567346,low trait anxiety
a170wnufjk56wd,contains_threat,100,3,21,3,2.9099332504334314,low trait anxiety
a170wnufjk56wd,no_threat,57,0,14,2,3.4306508679344527,low trait anxiety
a178bxd4ubx932,contains_threat,105,1,18,4,3.0540172315547744,low trait anxiety
a178bxd4ubx932,no_threat,51,4,13,4,2.0771630401884043,low trait anxiety
a1ad2bdqyttjil,contains_threat,106,2,21,5,2.8250379125287393,low trait anxiety
a1ad2bdqyttjil,no_threat,49,3,14,0,3.339882312035197,low trait anxiety
a1b973pg17h746,contains_threat,110,1,21,11,2.6040407580666143,high trait anxiety
a1b973pg17h746,no_threat,46,3,7,1,2.4432125942808716,high trait anxiety
a1fhkk0ru69ru,contains_threat,95,5,22,2,2.8846592076677333,moderate trait anxiety
a1fhkk0ru69ru,no_threat,51,10,15,0,2.8194497345198006,moderate trait anxiety
a1fkghyvtl6vvc,contains_threat,103,4,20,1,3.221134438450185,moderate trait anxiety
a1fkghyvtl6vvc,no_threat,54,0,18,0,4.299825957437801,moderate trait anxiety
a1gd9jru44we8p,contains_threat,111,10,18,9,1.7798012848558242,moderate trait anxiety
a1gd9jru44we8p,no_threat,33,6,7,6,1.0738773115220874,moderate trait anxiety
a1gp2iovw7rzuo,contains_threat,96,15,24,4,2.102067084608541,high trait anxiety
a1gp2iovw7rzuo,no_threat,35,14,11,1,1.7517644218625974,high trait anxiety
a1j9q00nu7qjn,contains_threat,108,0,32,0,4.771596126792365,low trait anxiety
a1j9q00nu7qjn,no_threat,52,1,7,0,3.4486263694081027,low trait anxiety
a1m4r8ll48xgwe,contains_threat,98,7,26,0,3.5555487730937054,low trait anxiety
a1m4r8ll48xgwe,no_threat,54,1,13,1,3.211837421602182,low trait anxiety
a1msg3v72sbkvu,contains_threat,100,1,21,3,3.25824240989714,low trait anxiety
a1msg3v72sbkvu,no_threat,55,4,15,1,2.791233710869117,low trait anxiety
a1qcfzj4pfm9wi,contains_threat,99,7,8,15,1.10099991951115,low trait anxiety
a1qcfzj4pfm9wi,no_threat,50,4,8,9,1.3232602764115555,low trait anxiety
a1rukaqh2yaa60,contains_threat,116,2,22,4,3.0007752140533275,high trait anxiety
a1rukaqh2yaa60,no_threat,42,0,12,2,3.236627362386665,high trait anxiety
a1sljknsnhojrn,contains_threat,119,2,27,4,3.121211385653818,moderate trait anxiety
a1sljknsnhojrn,no_threat,40,0,6,2,2.840381494352572,moderate trait anxiety
a1sn7eozuw5vp3,contains_threat,107,0,25,0,4.672232258552165,high trait anxiety
a1sn7eozuw5vp3,no_threat,52,2,13,1,2.9721731951294985,high trait anxiety
a1tr2aokwgq78a,contains_threat,119,1,26,1,3.8557759220569916,high trait anxiety
a1tr2aokwgq78a,no_threat,39,1,13,0,3.594507378117706,high trait anxiety
a1uh6a625gf5md,contains_threat,111,0,25,2,3.9599436897779787,low trait anxiety
a1uh6a625gf5md,no_threat,48,1,12,1,3.1226603999945715,low trait anxiety
a1vkzzxju11vn6,contains_threat,115,3,15,2,2.9748348684101895,low trait anxiety
a1vkzzxju11vn6,no_threat,43,0,21,1,3.7903779190964144,low trait anxiety
a1vxajieltyk0,contains_threat,113,3,19,3,2.9092055056442754,low trait anxiety
a1vxajieltyk0,no_threat,44,0,17,1,3.698735530217144,low trait anxiety
a1wjakh6lpefad,contains_threat,109,4,23,1,3.3116002018487576,moderate trait anxiety
a1wjakh6lpefad,no_threat,46,2,13,2,2.645029436051293,moderate trait anxiety
a1y3jl53xao7qv,contains_threat,118,7,17,11,1.8210663148946167,low trait anxiety
a1y3jl53xao7qv,no_threat,33,2,4,8,1.084216093220705,low trait anxiety
a1ziotmx864njx,contains_threat,108,1,27,2,3.590586127798155,high trait anxiety
a1ziotmx864njx,no_threat,49,2,11,0,3.39545718200732,high trait anxiety
a20nnuvdl65rvv,contains_threat,110,3,28,1,3.5154322580606836,high trait anxiety
a20nnuvdl65rvv,no_threat,43,4,11,0,3.049675293425782,high trait anxiety
a22llu5metq7cl,contains_threat,112,1,26,0,4.306875154369665,high trait anxiety
a22llu5metq7cl,no_threat,48,0,12,1,3.5606247628211527,high trait anxiety
a24z9rp5yzz2ty,contains_threat,109,1,23,1,3.7659008356821797,low trait anxiety
a24z9rp5yzz2ty,no_threat,50,1,15,0,3.760760520043652,low trait anxiety
a273wocs111dh0,contains_threat,98,5,18,7,2.1753901638850515,low trait anxiety
a273wocs111dh0,no_threat,53,4,14,1,2.739507592005979,low trait anxiety
a2bjmvjxfmt6r3,contains_threat,108,0,27,0,4.705654866744504,high trait anxiety
a2bjmvjxfmt6r3,no_threat,52,1,12,0,3.6833308635742625,high trait anxiety
a2ctbahecdqsix,contains_threat,97,15,16,8,1.5055941377044624,high trait anxiety
a2ctbahecdqsix,no_threat,46,2,12,4,2.263943484433901,high trait anxiety
a2cv1wuwt6n0ik,contains_threat,101,0,25,1,4.175888228859832,high trait anxiety
a2cv1wuwt6n0ik,no_threat,59,0,13,1,3.67553136536311,high trait anxiety
